 ---
book	text	lemmata
17	indraḥ vajrī hiraṇyayaḥ	indra vajrin hiraṇyaya
17	indraḥ dīrghāya cakṣase	indra dīrgha cakṣas
17	ā sūryam rohayat divi	ā sūrya rohay div
17	vi gobhiḥ adrim airayat	vi go adri īray
17	indra vājeṣu naḥ ava	indra vāja mad av
17	sahasrapradhaneṣu ca	sahasra pradhana ca
17	ugraḥ ugrābhiḥ ūtibhiḥ	ugra ugra ūti
17	indram vayam mahādhane	indra mad mahādhana
17	indram arbhe havāmahe	indra arbha hvā
17	yujam vṛtreṣu vajriṇam	yuj vṛtra vajrin
17	sa naḥ vṛṣan amum carum	tad mad vṛṣan adas caru
17	satrādāvan apā vṛdhi	satrādāvan apa vṛ
17	asmabhyam apratiṣkutaḥ	mad apratiṣkuta
17	tuñjetuñje ye uttare	tuñja tuñja yad uttara
17	stomāḥ indrasya vajriṇaḥ	stoma indra vajrin
17	na vindhe asya suṣTutim	na vidh idam suṣṭuti
17	vṛṣā yūthā iva vaṁsagaḥ	vṛṣan yūtha iva vaṃsaga
17	kṛṣTīḥ iyarti ojasā	kṛṣṭi ṛch ojas
17	īśānaḥ apratiṣkutaḥ	īś apratiṣkuta
17	yaḥ ekaḥ carṣaṇīnām	yad eka carṣaṇi
17	vasūnām irajyati	vasu irajy
17	indraḥ pañca kṣitīnām	indra pañcan kṣiti
17	indram vaḥ viśvataḥ pari	indra tvad viśvatas pari
17	havāmahe janebhyaḥ	hvā jana
17	asmākam astu kevalaḥ	mad as kevala
 ---
18	ā indra sānasim rayim	ā indra sānasi rayi
18	sajitvānam sadāsaham	sa jitvan sadāsah
18	varṣiṣTham ūtaye bhara	varṣiṣṭha ūti bhṛ
18	ni yena muṣTihatyayā	ni yad muṣṭi hatyā
18	ni vṛtrā ruṇadhāmahai	ni vṛtra rudh
18	tvotāsaḥ ni arvatā	tvota ni arvant
18	indra tvotāsaḥ ā vayam	indra tvota ā mad
18	vajram ghanāḥ dadīmahi	vajra ghana dā
18	jayema sam yudhi spṛdhaḥ	ji sam yudh spṛdh
18	vayam śūrebhiḥ astṛbhiḥ	mad śūra astṛ
18	indra tvayā yujā vayam	indra tvad yuj mad
18	sāsahyāma pṛtanyataḥ	sah pṛtany
18	mahān indraḥ paraḥ ca nu	mahat indra paras ca nu
18	mahitvam astu vajriṇe	mahi tva as vajrin
18	dyauḥ na prathinā śavaḥ	div na prathiman śavas
18	samohe vā ye āśata	samoha vā yad aś
18	naraḥ tokasya sanitau	nṛ toka saniti
18	viprāsaḥ vā dhiyāyavaḥ	vipra vā dhiyāyu
18	yaḥ kukṣiḥ somapātamaḥ	yad kukṣi soma pātama
18	samudraḥ iva pinvate	samudra iva pinv
18	urvīḥ āpaḥ na kākudaḥ	uru ap na kākud
18	evā hi asya sūnṛtā	eva hi idam sūnṛtā
18	virapśī gomatī mahī	virapśa gomat mah
18	pakvā śākhā na dāśuṣe	pakva śākhā na dāś
18	evā hi te vibhūtayaḥ	eva hi tvad vibhūti
18	ūtayaḥ indra māvate	ūti indra māvat
18	sadyaḥ cit santi dāśuṣe	sadyas cit as dāś
18	evā hi asya kāmyā	eva hi idam kāmya
18	stomaḥ uktham ca śaṁsyā	stoma uktha ca śaṃs
18	indrāya somapītaye	indra soma pīti
 ---
19	indra ā ihi matsi andhasaḥ	indra i mad andhas
19	viśvebhiḥ somaparvabhiḥ	viśva soma parvan
19	mahān abhiṣTiḥ ojasā	mahat abhiṣṭi ojas
19	ā īm enam sṛjatā sute	ā īṃ enad sṛj suta
19	mandim indrāya mandine	mandi indra mandin
19	cakrim viśvāni cakraye	cakri viśva cakri
19	matsvā suśipra mandibhiḥ	mad su śiprā mandin
19	stomebhiḥ viśvacarṣaṇe	stoma viśvacarṣaṇi
19	sacā eṣu savaneṣu ā	sacā idam savana ā
19	asṛgram indra te giraḥ	sṛj indra tvad gir
19	prati tvām ut ahāsata	prati tvad ud hā
19	ajoṣāḥ vṛṣabham patim	ajoṣa vṛṣabha pati
19	sam codaya citram arvāk	sam coday citra arvāk
19	rādhaḥ indra vareṇyam	rādhas indra vareṇya
19	asat it te vibhu prabhu	as id tvad vibhu prabhu
19	asmān su tatra codaya	mad su tatra coday
19	indra rāye rabhasvataḥ	indra rai rabhasvat
19	tuvidyumna yaśasvataḥ	tuvi dyumna yaśasvat
19	sam gomat indra vājavat	sam gomant indra vājavat
19	asme pṛthu śravaḥ bṛhat	mad pṛthu śravas bṛhat
19	viśvāyuḥ dhehi akṣitam	viśva āyus dhā akṣita
19	asme dhehi śravaḥ bṛhat	mad dhā śravas bṛhat
19	dyumnam sahasrasātamam	dyumna sahasra sātama
19	indra tāḥ rathinīḥ iṣaḥ	indra tad rathin iṣ
19	vasoḥ indram vasupatim	vasu indra vasu pati
19	gīrbhiḥ gṛṇantaḥ ṛgmiyam	gir gṛ ṛgmiya
19	homa gantāram ūtaye	homa gantṛ ūti
19	sutesute nyokase	suta suta nyokas
19	bṛhat bṛhate ā it ariḥ	bṛhat bṛhat ā id ari
19	indrāya śūṣam arcati	indra śūṣa arc
 ---
110	gāyanti tvā gāyatriṇaḥ	gā tvad gāyatrin
110	arcanti arkam arkiṇaḥ	arc arka arkin
110	brahmāṇaḥ tvā śatakrato	brahman tvad śatakratu
110	ut vaṁśam iva yemire	ud vaṃśa iva yam
110	yat sānoḥ sānum ā aruhat	yat sānu sānu āruh
110	bhūri aspaṣTa kartvam	bhūri paś kṛ
110	tat indraḥ artham cetati	tad indra artha cit
110	yūthena vṛṣṇiḥ ejati	yūtha vṛṣṇi ej
110	yukṣvā hi keśinā harī	yuj hi keśin hari
110	vṛṣaṇā kakṣyaprā	vṛṣaṇa kakṣya prā
110	athā naḥ indra somapāḥ	atha mad indra soma pā
110	girām upaśrutim cara	gir upaśruti car
110	ā ihi stomān abhi svara	e stoma abhi svar
110	abhi gṛṇīhi ā ruva	abhi gṛ ā ru
110	brahma ca naḥ vaso sacā	brahman ca mad vasu sacā
110	indra yajñam ca vardhaya	indra yajña ca vardhay
110	uktham indrāya śaṁsyam	uktha indra śaṃs
110	vardhanam puruniṣṣidhe	vardhana puru niṣṣidh
110	śakraḥ yathā suteṣu naḥ	śakra yathā suta mad
110	rāraṇat sakhyeṣu ca	ran sakhya ca
110	tam it sakhitve īmahe	tad id sakhi tva ī
110	tam rāye tam suvīrye	tad rai tad su vīrya
110	sa śakraḥ uta naḥ śakat	tad śakra uta mad śak
110	indraḥ vasu dayamānaḥ	indra vasu day
110	suvivṛtam sunirajam	suvivṛt suniraja
110	indra tvādātam it yaśaḥ	indra tvādāta id yaśas
110	gavām apa vrajam vṛdhi	go apa vraja vṛ
110	kṛṇuṣva rādhaḥ adrivaḥ	kṛ rādhas adrivat
110	nahi tvā rodasī ubhe	nahi tvad rodas ubh
110	ṛghāyamāṇam invataḥ	ṛghāy inv
110	jeṣaḥ svarvatīḥ apaḥ	ji svarvat ap
110	sam gāḥ asmabhyam dhūnuhi	sam go mad dhū
110	āśrutkarṇa śrudhī havam	āśrut karṇa śru hava
110	nū cit dadhiṣva me giraḥ	nu cit dhā mad gir
110	indra stomam imam mama	indra stoma idam mad
110	kṛṣvā yujaḥ cit antaram	kṛ yuj cit antara
110	vidmā hi tvā vṛṣantamam	vid hi tvad vṛṣantama
110	vājeṣu havanaśrutam	vāja havana śrut
110	vṛṣantamasya hūmahe	vṛṣantama hvā
110	ūtim sahasrasātamām	ūti sahasra sātama
110	ā tū naḥ indra kauśika	ā tu mad indra kauśika
110	mandasānaḥ sutam piba	mand suta pā
110	navyam āyuḥ pra sū tira	navya āyus pra su tṛ
110	kṛdhī sahasrasām ṛṣim	kṛ sahasra sā ṛṣi
110	pari tvā girvaṇaḥ giraḥ	pari tvad girvaṇas gir
110	imāḥ bhavantu viśvataḥ	idam bhū viśvatas
110	vṛddhāyum anu vṛddhayaḥ	vṛdh āyu anu vṛddhi
110	juṣTāḥ bhavantu juṣTayaḥ	juṣ bhū juṣṭi
 ---
111	indram viśvāḥ avīvṛdhan	indra viśva vṛdh
111	samudravyacasam giraḥ	samudra vyacas gir
111	rathītamam rathīnām	rathītama rathin
111	vājānām satpatim patim	vāja satpati pati
111	sakhye te indra vājinaḥ	sakhya tvad indra vājin
111	mā bhema śavasaḥ pate	mā bhī śavas pati
111	tvām abhi pra nonumaḥ	tvad abhi pra nonāv
111	jetāram aparājitam	jetṛ aparājita
111	pūrvīḥ indrasya rātayaḥ	puru indra rāti
111	na vi dasyanti ūtayaḥ	na vi das ūti
111	yadī vājasya gomataḥ	yadi vāja gomat
111	stotṛbhyaḥ maṁhate magham	stotṛ mah magha
111	purām bhinduḥ yuvā kaviḥ	pur bhindu yuvan kavi
111	amitaujāḥ ajāyata	amita ojas jan
111	indraḥ viśvasya karmaṇaḥ	indra viśva karman
111	dhartā vajrī puruṣTutaḥ	dhartṛ vajrin puruṣṭuta
111	tvam valasya gomataḥ	tvad vala gomat
111	apa āvar adrivaḥ bilam	apavṛ adrivat bila
111	tvām devāḥ abibhyuṣaḥ	tvad deva a bhī
111	tujyamānāsaḥ āviṣuḥ	tuj av
111	tava aham śūra rātibhiḥ	tvad mad śūra rāti
111	prati āyam sindhum āvadan	prati i sindhu āvad
111	upa atiṣThanta girvaṇaḥ	upasthā girvaṇas
111	viduḥ te tasya kāravaḥ	vid tvad tad kāru
111	māyābhiḥ indra māyinam	māyā indra māyin
111	tvam śuṣṇam ava atiraḥ	tvad śuṣṇa avatṛ
111	viduḥ te tasya medhirāḥ	vid tvad tad medhira
111	teṣām śravāṁsi ut tira	tad śravas ud tṛ
111	indram īśānam ojasā	indra īś ojas
111	abhi stomāḥ anūṣata	abhi stoma nū
111	sahasram yasya rātayaḥ	sahasra yad rāti
111	uta vā santi bhūyasīḥ	uta vā as bhūyas
 ---
112	agnim dūtam vṛṇīmahe	agni dūta vṛ
112	hotāram viśvavedasam	hotṛ viśva vedas
112	asya yajñasya sukratum	idam yajña sukratu
112	agnimagnim havīmabhiḥ	agni agni havīman
112	sadā havanta viśpatim	sadā hvā viśpati
112	havyavāham purupriyam	havya vāha puru priya
112	agne devān iha ā vaha	agni deva iha ā vah
112	jajñānaḥ vṛktabarhiṣe	jan vṛktabarhis
112	asi hotā naḥ īḍyaḥ	as hotṛ mad īḍ
112	tān uśataḥ vi bodhaya	tad vaś vi bodhay
112	yat agne yāsi dūtyam	yat agni yā dūtya
112	devaiḥ ā satsi barhiṣi	deva ā sad barhis
112	ghṛtāhavana dīdivaḥ	ghṛtāhavana dīdī
112	prati sma riṣataḥ daha	prati sma riṣ dah
112	agne tvam rakṣasvinaḥ	agni tvad rakṣasvin
112	agninā agniḥ sam idhyate	agni agni sam indh
112	kaviḥ gṛhapatiḥ yuvā	kavi gṛhapati yuvan
112	havyavāT juhvāsyaḥ	havyavah juhū āsya
112	kavim agnim upa stuhi	kavi agni upa stu
112	satyadharmāṇam adhvare	satya dharman adhvara
112	devam amīvacātanam	deva amīva cātana
112	yaḥ tvām agne haviṣpatiḥ	yad tvad agni haviṣpati
112	dūtam deva saparyati	dūta deva sapary
112	tasya sma prāvitā bhava	tad sma pra avitṛ bhū
112	yaḥ agnim devavītaye	yad agni deva vīti
112	haviṣmān āvivāsati	haviṣmat āvivās
112	tasmai pāvaka mṛLaya	tad pāvaka mṛḍay
112	sa naḥ pāvaka dīdivaḥ	tad mad pāvaka dīdī
112	agne devān iha ā vaha	agni deva iha ā vah
112	upa yajñam haviḥ ca naḥ	upa yajña havis ca mad
112	sa naḥ stavānaḥ ā bhara	tad mad stu ā bhṛ
112	gāyatreṇa navīyasā	gāyatra navīyas
112	rayim vīravatīm iṣam	rayi vīravat iṣ
112	agne śukreṇa śociṣā	agni śukra śocis
112	viśvābhiḥ devahūtibhiḥ	viśva deva hūti
112	imam stomam juṣasva naḥ	idam stoma juṣ mad
 ---
113	susamiddhaḥ naḥ ā vaha	su samindh mad ā vah
113	devān agne haviṣmate	deva agni haviṣmat
113	hotar pāvaka yakṣi ca	hotṛ pāvaka yaj ca
113	madhumantam tanūnapāt	madhumat tanūnapāt
113	yajñam deveṣu naḥ kave	yajña deva mad kavi
113	adyā kṛṇuhi vītaye	adya kṛ vīti
113	narāśaṁsam iha priyam	narāśaṃsa iha priya
113	asmin yajñe upa hvaye	idam yajña upa hvā
113	madhujihvam haviṣkṛtam	madhu jihvā haviṣkṛta
113	agne sukhatame rathe	agni sukhatama ratha
113	devān īLitaḥ ā vaha	deva īḍ ā vah
113	asi hotā manurhitaḥ	as hotṛ manus dhā
113	stṛṇīta barhiḥ ānuṣak	stṛ barhis ānuṣak
113	ghṛtapṛṣTham manīṣiṇaḥ	ghṛta pṛṣṭha manīṣin
113	yatra amṛtasya cakṣaṇam	yatra amṛta cakṣaṇa
113	vi śrayantām ṛtāvṛdhaḥ	vi śri ṛtāvṛdh
113	dvāraḥ devīḥ asaścataḥ	dvār deva asaścat
113	adyā nūnam ca yaṣTave	adya nūnam ca yaj
113	naktoṣāsā supeśasā	naktoṣāsā supeśas
113	asmin yajñe upa hvaye	idam yajña upa hvā
113	idam naḥ barhiḥ āsade	idam mad barhis āsad
113	tā sujihvau upa hvaye	tad su jihvā upa hvā
113	hotārā daivyā kavī	hotṛ daivya kavi
113	yajñam naḥ yakṣatām imam	yajña mad yaj idam
113	iLā sarasvatī mahī	iḍā sarasvatī mahī
113	tisraḥ devīḥ mayobhuvaḥ	tri devī mayobhu
113	barhiḥ sīdantu asridhaḥ	barhis sad asridh
113	iha tvaṣTāram agriyam	iha tvaṣṭṛ agriya
113	viśvarūpam upa hvaye	viśva rūpa upa hvā
113	asmākam astu kevalaḥ	mad as kevala
113	ava sṛjā vanaspate	ava sṛj vanaspati
113	deva devebhyaḥ haviḥ	deva deva havis
113	pra dātuḥ astu cetanam	pra dātṛ as cetana
113	svāhā yajñam kṛṇotana	svāhā yajña kṛ
113	indrāya yajvanaḥ gṛhe	indra yajvan gṛha
113	tatra devān upa hvaye	tatra deva upa hvā
 ---
114	ā ebhiḥ agne duvaḥ giraḥ	ā idam agni duvas gir
114	viśvebhiḥ somapītaye	viśva soma pīti
114	devebhiḥ yāhi yakṣi ca	deva yā yaj ca
114	ā tvā kaṇvāḥ ahūṣata	ā tvad kaṇva hvā
114	gṛṇanti vipra te dhiyaḥ	gṛ vipra tvad dhī
114	devebhiḥ agne ā gahi	deva agni ā gam
114	indravāyū bṛhaspatim	indra vāyu bṛhaspati
114	mitrā agnim pūṣaṇam bhagam	mitra agni pūṣan bhaga
114	ādityān mārutam gaṇam	āditya māruta gaṇa
114	pra vaḥ bhriyante indavaḥ	pra tvad bhṛ indu
114	matsarāḥ mādayiṣṇavaḥ	matsara mādayiṣṇu
114	drapsāḥ madhvaḥ camūṣadaḥ	drapsa madhu camūṣad
114	īLate tvām avasyavaḥ	īḍ tvad avasyu
114	kaṇvāsaḥ vṛktabarhiṣaḥ	kaṇva vṛj barhis
114	haviṣmantaḥ araṁkṛtaḥ	haviṣmat araṃkṛt
114	ghṛtapṛṣThāḥ manoyujaḥ	ghṛta pṛṣṭha manas yuj
114	ye tvā vahanti vahnayaḥ	yad tvad vah vahni
114	ā devān somapītaye	ā deva soma pīti
114	tān yajatrān ṛtāvṛdhaḥ	tad yajatra ṛtāvṛdh
114	agne patnīvataḥ kṛdhi	agni patnīvat kṛ
114	madhvaḥ sujihva pāyaya	madhu su jihvā pāyay
114	ye yajatrāḥ ye īḍyāḥ	yad yajatra yad īḍ
114	te te pibantu jihvayā	tad tvad pā jihvā
114	madhoḥ agne vaṣaTkṛti	madhu agni vaṣaṭ kṛt
114	ākīm sūryasya rocanāt	sūrya rocana
114	viśvān devān uṣarbudhaḥ	viśva deva uṣarbudh
114	vipraḥ hotā iha vakṣati	vipra hotṛ iha vah
114	viśvebhiḥ somyam madhu	viśva somya madhu
114	agne indreṇa vāyunā	agni indra vāyu
114	pibā mitrasya dhāmabhiḥ	pā mitra dhāman
114	tvam hotā manurhitaḥ	tvad hotṛ manus dhā
114	agne yajñeṣu sīdasi	agni yajña sad
114	sa imam naḥ adhvaram yaja	tad idam mad adhvara yaj
114	yukṣvā hi aruṣīḥ rathe	yuj hi aruṣa ratha
114	haritaḥ deva rohitaḥ	harit deva rohit
114	tābhiḥ devān iha ā vaha	tad deva iha ā vah
 ---
115	indra somam piba ṛtunā	indra soma pā ṛtu
115	ā tvā viśantu indavaḥ	tvad viś indu
115	matsarāsaḥ tadokasaḥ	matsara tad oka
115	marutaḥ pibata ṛtunā	marut pā ṛtu
115	potrāt yajñam punītana	potra yajña pū
115	yūyam hi sthā sudānavaḥ	tvad hi as sudānu
115	abhi yajñam gṛṇīhi naḥ	abhi yajña gṛ mad
115	gnāvaḥ neṣTar piba ṛtunā	gnāvat neṣṭṛ pā ṛtu
115	tvam hi ratnadhāḥ asi	tvad hi ratna dhā as
115	agne devān iha ā vaha	agni deva iha ā vah
115	sādayā yoniṣu triṣu	sāday yoni tri
